DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 21, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week (8),Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
26,(d) Gonorrhoea,212,251,286,13917,14359,14507,11,4,2,-,-,1,2,14,6,3,2,4,29,18,57,-,47,43,19,36,23,27,20,25,39,32,60,82,78,41,26,,,,,,,,,,,
27,(e) Other venereal diseases 7,-,-,1,12,12,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,55,87,155,7364,8643,9277,-,-,-,-,-,3,1,7,15,-,-,2,28,21,76,-,27,33,1,-,7,2,-,7,7,8,8,16,24,12,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat, strptococcal sore throat not reportable in New Brunsick and Quebec. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (8) Report not received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,57 (36),Measles,3337 (3746),"Meningitis, other",37 (40),"Poliomyelitis, with paralysis",15 (27),Smallpox,- (-),Undulant fever,12 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",22 (22),Meningococcal infections,50 (67),"Poliomyelitis, acute",31 (44),"Poliomyelitis, without paralysis",10 (15),Typhoid fever,7 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Although reports from the states inicate a decreasing incidence of influenza throughout the country, the number of deaths from all causes in 114 large cities increased slightly above that for the previous week, that is, 11.997 as compared with 11804. The increase was evident for each geographic area except the New England, East North Central, and Mountain Divisions. The number of deaths were above the expected value in the Middle Atlantic, South Atlantic, and Mountain Divisions. Thirteen cities reported a greater tha expected numbre of deaths. The number of deaths from influenza and pneumonia was 566 as compared with 535 for the previous week. The numbers were above expected values for the country as a whole and particularly in the East North Central, West North Central, South Atlantic, Mountain, and Pacific Divisions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*NEWFOUNDLAND reports Chickenpox (epidemic) at Carbonear and vicinity.
**NEWFOUNDLAND reports Influenza (epidemic) at Carmanville and Fogo District.
***NEWFOUNDLAND reports Measles (Epidemic) at Charleston, B.B.
*NEWFOUNDLAND reports Mumps (epidemic) at Carbonear and vicinity, Channel and Port aux Basques.
**NEWFOUNDLAND reorts Scarlet fever (epidemic) at Corner Brook.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Samara Manzin on June 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File copied from: cdi_ca_1957_wk_province_dbs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
