DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 19, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
26,(d) Gonorrhoea,267,288,289,11513,11638,11781,7,6,4,-,-,2,6,10,11,7,3,4,56,43,67,24,43,42,34,27,29,20,26,25,44,53,45,69,77,57,26,,,,,,,,,,,
27,(e) Other venereal diseases 7,1,-,-,10,9,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,190,68,227,6184,6926,7286,-,-,-,-,1,-,25,-,7,-,-,-,21,26,66,69,14,36,2,-,4,3,4,5,40,3,17,30,20,10,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat, strptococcal sore throat not reportable in New Brunsick and Quebec. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (8) Report not received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,41 (25),Measles,1087 (1109),"Meningitis, other",36 (41),"Poliomyelitis, with paralysis",61 (88),Smallpox,- (-),Undulant fever,15 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",40 (44),Meningococcal infections,43 (51),"Poliomyelitis, acute",112 (169),"Poliomyelitis, without paralysis",33 (64),Typhoid fever,43 (48),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Influenza and influenza-like disease occurred in all parts of the country during the past week - sporadic but widespread in some states, and causing high absenteeism rates in many schools in others. It appears that epidemics are becoming less extensive ot intensive in some of the Southern Sates but more so in many of the Northern States. A reasonable and satisfactory etimate of the number of the new cases for the week ended October 19 cannot be made because of  the diverse nature of reports frpm individual states. It could be in the range of a million or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* NEWFOUNDLAND reports Influenza (epidemic) at Corner Brook; Harbour Grace. C.B.; Bonavista; Cape Broyle and vicinity; Placentia area; Grand Bank; Goose Bay, Labraor.
NEW BRUNSWICK reorts Influenza-like Disease prevelant in school population in Saint John-Kings area and Madawaska
**NEWFOUNDLAND reports Measles (epidemic) ay Marystown, P.B.
***NEWFOUNDLAND reports Scarlet Fever (epidemic) at Botwood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Samara Manzin on June 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File copied from: cdi_ca_1957_wk_province_dbs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
