DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 21, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
26,(d) Gonorrhoea,325,263,302,10480,10385,10677,9,7,5,-,1,-,-,5,13,3,2,6,84,31,55,48,29,55,32,22,20,21,45,23,54,35,63,74,86,65,26,,,,,,,,,,,
27,(e) Other venereal diseases 7,-,-,-,8,8,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,337,228,228,5623,6290,6308,-,-,-,-,-,-,10,9,8,-,-,1,58,28,112,105,129,33,1,1,4,3,1,11,31,25,25,129,35,19,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat, strptococcal sore throat not reportable in New Brunsick and Quebec. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (8) Report not received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,33 (43),Measles,862 (1007),"Meningitis, other",41 (62),"Poliomyelitis, with paralysis",82 (90),Smallpox,- (-),Undulant fever,15 (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",40 (50),Meningococcal infections,42 (35),"Poliomyelitis, acute",213 (282),"Poliomyelitis, without paralysis",94 (148),Typhoid fever,26 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A further increase in incidence of influenza and influenza-like disease occurred during the past week. Epidemics, some of them explosive in nature, were reported in a number of schools and colleges locates in various parts of the country. On the basis of reports from State Health Officers and the Armed Forces, the number of cases of influenza reported for the week ended September 21, was about 122,650. The cumulative total reported to date is an estimated 222,650. This figure is based on incomplete reports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EPIDEMIC REPORT: Gastro-enteritis - Nfld. Reports an epidemic at Corner Brook.
Scarlet Fever (mild type) - Nfld. Reports an epidemic at Botwood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YUKON TERRITORY: Number of cases four weeks ended August 10: chickenpox, 33; dysentery, bacillary, 3; inffluenza, 3; measles, 6; gonorrhoea, 4.
Number of cases four weeks ended September 7: chickenpox, 5; dysentery, bacillary, 40; tuberculosis, pulmonary, 1; gonorroea, 12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Samara Manzin on June 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File copied from: cdi_ca_1957_wk_province_dbs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
