690,"1,028",952,"15,115","14,211","16,260",2,2,1,1,-,2,17,16,27,-,-,-,199,335,173,296,382,473,14,14,25,R.P.,....,19,P...,...,47,161,279,183,1,FILLER
-,1,1,37,37,45,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FILLER
4,4,13,124,136,136,-,-,-,-,-,-,-,-,-,R.P.,...,...,P.A,1,*.*,-,-,1,-,-,-,-,-,-,-,-,-,4,3,12,3,FILLER
-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,A.P.,,,,A.P,*.*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
4,4,12,124,136,136,-,-,-,-,-,-,-,-,-,A.P.,,A.P.,,1,...,-,-,1,-,-,-,-,-,-,-,-,-,4,3,12,5,FILLER
 infectious,-,-,1,4,6,6,-,-,-,...,R.A,...,-,-,-,-,-,-,P.S,R.P.,...,R.P.,...,...,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,372,126,672,"5,466","27,575","3,955",....,...,...,86,62,...,36,46,83,-,-,1,-,-,-,3,11,12,-,4,6,-,-,-,....,R.A,,247,3,7,7
"1,388","1,329","1,607","21,346","21,672","23,810",2,7,5,15,8,5,40,35,40,-,-,3,634,441,244,531,614,621,33,52,59,,3,13,4,14,78,129,155,144,8,FILLER
 meningococcal,10,3,7,87,94,86,1,2,-,1,R.A,...,-,-,-,-,-,1,-,-,1,3,-,1,-,-,1,-,-,1,a.e.,,,5,1,2,9
715,926,"1,048","11,905","11,133","15,629",-,-,1,14,-,3,3,-,27,-,-,1,104,301,208,404,360,413,51,46,42,1,...,51,....,,a.e. 24,138,219,150,10,FILLER
 epidemic:4,4,2,2,39,51,51,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,1,-,-,-,-,11
