350,161,398,"27,648","25,414","34,290",-,-,3,-,-,1,13,13,15,9.0,Q.A,1,169,42,95,87,52,146,14,4,22,...,3,20,R.O.,...,22,67,47,51,1,FILLER
1,3,4,77,78,110,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,I,I,-,1,1,-,-,-,-,8,-,-,1,I,-,2,FILLER
19,6,7,494,543,543,-,-,-,5,-,-,-,-,-,9.9,...,...,...,...,3,3,2,1,-,2,-,-,-,-,8,2,-,3,-,3,3,FILLER
-,1,-,2,2,9,-,-,-,-,-,-,-,-,-,,9.0,...,..,9.8,...,-,1,-,-,-,-,-,-,-,1,-,-,,-,-,4,FILLER
19,5,6,492,541,541,-,-,-,5,-,-,-,-,-,a.e.,a.a,,A.A,a.e.,3,3,1,1,-,2,-,-,-,-,8,2,-,3,-,3,5,FILLER
 infectious,2,1,1,39,26,33,-,-,-,,,.0,-,-,-,-,-,-,..a,a.e,a.a.,,1,A.O.,1,-,-,1,-,-,-,-,-,=,=,I,6
 epidemic,75,134,62,"9,488","37,138","9,414",a.e.,..a,,41,38,-,34,91,42,a.e.,,,-,-,-,-,2,3,-,-,5,-,-,-,...,,,-,3,0:,7
343,222,360,"42,901","45,380","48,515",-,-,3,,,2,6,9,28,,,1,73,52,102,202,68,86,7,6.,16,a.a,8,8,11,26,22,55,53,61,8,FILLER
 meningococcal,5,6,5,235,243,243,2,1,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,2,1,-,-,-,-,-,0.0,,...,-,1,2,9
184,169,278,"22,610","21,061","29,452",-,-,2,,,1,18,13,8,,,,15,6,38,91,75,145,9,6.,17,,,14,,,13,51,69,41,10,FILLER
 epidemic:4,9,33,86,447,867,"2,220",-,-,-,-,-,-,-,-,2,2,4,3,2,8,15,1,12,30,-,-,6,1,2,9,2,2,18,1,5,7,11
5,19,53,245,451,942,-,-,-,-,-,-,-,-,1,1,-,1,-,5,7,1,9,20,-,-,5,-,-,2,2,1,-,1,4.,4,12,FILLER
2,10,32,165,336,"1,178",-,-,-,-,-,-,-,-,-,1,4,2,-,1,1,-,3,10,-,-,1,1,-,1,-,1,4,-,1,4,13,FILLER
109,70,43,"49,684","17,704","9,274",-,-,-,...,...,...,1,-,2,...,..,...,47,15,2,22,26,12,-,-,-,....,9.A,1,13,9,6,26,20,12,14,FILLER
 etc.⁵,147,100,206,"9,586","7,074","10,062",19,5,3,27,13,6,60,17,16,-,-,3,8,8,48,22,18,37,5,4,9,1,13,6,2,7,11,3,15,24,15
-,-,-,-,-,-,-,-,-,..,..,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
124,155,199,"7,154","7,724","8,354",3,4,3,-,-,-,1,2,2,23,9,11,23,16,81,15,25,17,16,10,14,8,4,8,22,29,24,13,56,34,17,FILLER
98,122,163,"5,826","6,375","6,773",3,4,3,-,-,-,1,1,2,18,8,11,21,16,79,(6),(6),(6),15,10,14,7,3,4,20,26,20,13,54,30,18,FILLER
11,8,12,442,457,425,-,-,1,-,-,-,-,1,-,5,1,-,2,-,2,(6),(6),(6),1,-,-,1,1,2,2,3,1,-,2,4,19,FILLER
10,7,10,353,321,355,4,-,-,-,-,-,-,-,-,-,-,-,1,R.O.,5,1,3,1,-,-,-,-,-,-,.A,2,...,4,2,-,20,FILLER
2,2,3,110,101,103,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,21,FILLER
280,364,335,"13,029","13,272","14,194",14,16,9,-,-,2,10,11,11,1,10,4,77,89,89,34,30,57,31,30,30,15,23,28,65,70,45,33,85,65,22,FILLER
 primary,2,3,3,86,93,168,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,23
1,1,2,39,39,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,24,FILLER
27,45,50,"1,488","1,846","2,017",1,2,2,-,-,-,-,2,2,-,3,-,23,25,25,1,6,13,1,-,-,-,2,1,1,3,2,I,2,3,25,FILLER
250,315,289,"11,408","11,276","11,533",13,14,8,-,-,2,10,9,8,1,6,4,54,64,53,33,24,42,30,30,28,14,21,25,62,64,43,33,83,57,26,FILLER
-,-,-,8,18,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
207,121,227,"6,803","11,164","7,059",-,-,-,-,2,-,3,9,7,1,-,-,148,46,66,24,18,73,5,8,9,8:,11,11,8,25,18,10,2,11,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
