226,301,270,"25,900","23,947","31,501",1,12,2,-,1,9,9,18,13,:,..,..,54,112,29,109,68,82,12,4,13,:.,:,20,:.,,:,41,66,31,1,FILLER
3,4,1,59,61,86,-,-,-,-,-,-,-,-,-,-,-,-,3,3,7.,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,FILLER
9,20,15,366,331,331,-,-,-,-,-,-,-,-,-,8.9,...,...,,...,...,-,2,2,-,-,-,-,3,-,-,1,-,9,14,7,3,FILLER
-,-,-,-,2,7,-,1,-,-,-,-,-,-,-,: .,:.,:,:.,:,: .,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
9,20,15,366,329,329,-,-,-,-,-,-,-,-,-,:.,:.,:.,:,:.,:.,-,2,2,-,-,-,-,3,-,-,1,-,9,14,7,5,FILLER
 infectious,1,-,-,11,14,19,-,-,-,...,...,....,-,-,-,-,-,-,..,:.,..,1,..,:,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,64,127,13,"8,382","36,199","8,943",,...,..,61,84,..,2,34,12,-,-,-,-,-,as,1,9,-,I,-,1,-,-,-,:.,,:.,-,-,-,7
396,554,365,"39,962","42,531","46,266",3,2,2,-,1,7,33,30,7,...,...,:.,73,254,80,184,180,75,18,7,17,..,:,10,37,28,42,48,52,60,8,FILLER
 meningococcal,4,1,1,182,184,169,1,-,-,:,...,...,-,-,-,1,-,-,-,-,-,2,1,-,-,-,-,-,-,-,:,,:,-,-,-,9
150,138,169,"21,059","19,374","27,677",-,-,1,-,4,-,1,-,4,...,:,:.,17,24,14,110,77,82,4,4,7,:,2,7,:.,,13,18,27,22,10,FILLER
 epidemic:4,8,12,119,101,256,391,-,-,1,-,-,1,-,-,1,-,-,-,3,3,8,-,2,47,-,-,4,-,1,4,3,3,8,2,3,7,11
5,7,45,62,141,142,-,-,-,-,-,-,-,-,1,-,-,-,3,3,6,-,1,10,-,-,4,-,(6),1,1,3,2,1,-,2,12,FILLER
3,4,73,31,100,157,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,1,37,-,-,1,-,(6),2,2,-,2,1,3,4,13,FILLER
160,251,40,"48,493","17,211","8,854",-,-,-,...,...,P.P.,10,8,2,...,...,...,36,111,5,60,49,9,-,-,1,:.,:,1,8,16,15,46,67,7,14,FILLER
 etc.⁵,90,117,104,"8,495","6,101","9,199",-,3,2,20,25,4,14,12,12,-,21,-,12,16,15,23,29,18,-,1,6,11,1,12,2,3,6,8,6,13,15
-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
194,247,214,"5,350","5,572","6,075",24,3,8,1,3,2,-,-,2,12,15,19,83,155,75,17,11,23,11,13,19,7,-,7,17,29,28,22,18,30,17,FILLER
165,218,175,"4,382","4,524","4,892",23,3,8,1,2,1,-,-,2,11,14,19,77,149,69,(6),(6),(6),9,12,19,7,-,4,16,22,27,21,16,26,18,FILLER
12,18,14,320,371,310,1,-,-,-,1,-,-,-,-,1,1,-,6,6,4,(6),(6),(6),2,1,-,-,-,3,1,7,2,1,2,4,19,FILLER
15,1,10,234,162,242,-,-,-,-,,-,-,-,-,-,-,-,4,-,4,1,-,1,-,-,-,-,-,-,7,-,-,3,1,-,20,FILLER
4,-,4,82,70,72,,,I,-,-,-,-,,,,,,,,2,3,-,-,1,-,-,-,-,-,R.A,....,R.P.,-,-,-,21,FILLER
313,299,385,"9,176","9,643","10,142",8,11,8,2,1,1,4,5,10,7,5.,5,70,85,114,35,41,64,20,18,28,32,36,34,56,57,56,79,40,66,22,FILLER
 primary,:-,4,5,59,62,123,,,,-,,,,,,,,-,,,-,-,-,-,,-,-,-,-,-,-,3,1,-,1,-,23
2,,2,25,23,71,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,24,FILLER
29,46,40,"1,080","1,393","1,566",-,-,-,-,1,-,-,5,1,-,-,1,20,18,9,3,12,15,1,1,2,1,-,1,-,5,2,4,4,5,25,FILLER
282,249,318,"8,010","8,151","8,194",8,11,5,2,-,1,4,-,10,7,5,4,49,67,66,32,29,52,18,17,23,31,36,33,56,49,53,75,35,62,26,FILLER
-,-,-,2,14,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
130,112,126,"4,919","7,704","4,794",-,-,-,11,1,1,-,-,6,1,-,-,57,67,35,10,14,38,14,6,2,-,3,4,6,2,8,31,19,22,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
