file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,21,-,-,True,56.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,22,-,-,True,82.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,23,-,-,True,19.75
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,24,-,-,True,82.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,25,-,-,True,34.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,26,-,-,True,81.88
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,27,-,-,True,73.73
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,28,-,-,True,25.63
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,29,-,-,True,84.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,30,2,2,True,50.34
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,31,2,2,True,80.76
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,32,-,-,True,45.29
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,33,-,-,True,82.86
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,34,-,-,True,81.79
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,35,-,-,True,79.05
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,36,2,2,False,82.23
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,0,13,13,True,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,1,20,20,True,79.2
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,2,12,12,True,85.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,3,109,109,True,87.99
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,4,87,87,True,31.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,5,98,98,True,88.09
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,6,-,-,True,84.86
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,7,-,-,True,70.07
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,8,-,-,True,84.13
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,9,-,-,True,81.69
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,10,-,-,True,23.61
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,11,-,-,True,82.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,12,-,-,True,19.31
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,13,-,-,True,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,14,-,-,True,20.03
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,15,...,..,False,85.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,16,..,..,True,20.08
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,17,,..,False,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,18,...,..,False,78.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,19,6,6,True,74.51
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,20,1,1,True,85.69
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,21,7,7,True,56.64
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,22,1,1,True,83.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,23,3,3,True,19.87
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,24,-,-,True,82.71
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,25,-,-,True,34.84
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,26,1,1,True,82.42
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,27,-,-,True,74.22
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,28,-,-,True,25.81
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,29,1,1,True,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,30,-,-,True,50.63
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,31,1,1,True,81.3
