file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Equal_No_Commas_No_Spaces,Equal_Shifted,Only_Numbers_Equal_Or_Shifted,Any_Equality,Confidence_Value,Lev_Dist,Lev_Sim
padded_cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,88.87,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,91.55,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,94.04,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,89.21,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,91.26,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,7,34,.... 130,130,False,False,False,False,False,45.83,5,0.375
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,9,34,.... 48,48,False,False,False,False,False,40.28,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,21,32,R.P. 50,50,False,False,False,False,False,74.02,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,21,34,A.P. 47,47,False,False,False,False,False,47.58,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,89.84,2,0.9310344827586208
