Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report,,,,Cumulative,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,137,73,125,"20,793","27,478","27,478",:,:,:,:.,:.,:.,14,2,5,:.,:,:.,32,14,34,67,39,58,5,10,5,..,:,:.,:,:,:.,19,8,19,
2,Diphtheria,2,1,4,39,109,77,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1
3,Dysentery:,79,38,12,710,"1,003",820,-,-,-,2,& 6,-,-,-,-,-,@ 1,-,8,"11,474 -,46,6,4,-,3,1,-,-,1,2,-,-,21,11,4,2
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,(7),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
5,(b) Bacillary,79,37,12,700,998,801,-,-,-,2,6,-,-,-,-,-,(7),-,8,11,-,46,6,4,-,3,1,-,-,1,2,-,-,21,11,4,4
6,Encephalitis, infectious,1,-,2,22,26,31,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,5
7,Influenza, epidemic,113,46,80,"5,711","15,447","9,271",:,:.,:.,53,15,28,54,19,42,:.,..,:,-,-,-,-,1,3,3,6,-,-,-,-,:.,..,:,3,5,-,6 7
8,Measles,294,262,206,"25,233","46,052","44,513",-,-,-,:.,:.,:.,22,6,2,:.,:.,:.,112,123,56,110,101,35,8,8,12,:,:,:.,9,11,39,33,13,26,8
9,Meningitis, meningococcal,3,10,4,224,249,236,1,4,1,-,-,-,-,-,-,1,-,-,-,-,1,-,2,1,1,1,-,-,1,-,..,:,:.,-,2,1,
10,Mumps,97,105,164,"9,821","20,033","21,363",:,:,:.,:,..,:,10,-,20,:,..,:.,25,47,33,41,35,68,9,5,9,:.,:,:.,:.,:.,:.,12,18,28,9
11,Poliomyelitis, epidemic:4,23,29,47,189,226,808,-,1,-,-,-,-,-,-,2,-,-,4,4,7,11,-,3,7,15,16,2,-,1,4,4,1,6,-,-,10,10
12,(a) With paralysis,14,23,20,145,134,413,-,1,-,-,-,-,-,-,1,-,-,-,3,6,11,-,3,3,9,12,2,-,1,-,2,-,1,-,-,3,11 12
13,(b) Without paralysis,9,6,22,44,87,312,-,-,-,-,-,-,-,-,-,-,-,3,1,1,1,-,-,4,6,4,2,-,-,2,2,1,2,-,-,4,13
14,Rubella,36,60,29,"6,775","15,836","15,836",-,-,-,:.,:.,:.,:,6,:.,:,:,:.,3,-,1,17,15,16,-,20,-,:,:.,:,10,15,4,6,4,10,14
15,Scarlet fever, etc. 5,153,85,94,"7,109","6,625","9,339",17,6,2,9,13,-,71,16,11,-,1,5,8,8,16,20,19,23,3,2,6,9,3,5,2,8,12,14,9,6,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
