Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,Report,Previous,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Week,Median,,,Median,,,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,784,"1,166","1,384","2,615","3,105","3,524",:.,:.,:,8,:,:,32,27,62,:.,:.,:.,268,591,337,286,430,676,11,7,52,..,..,:,...,..,...,179,111,173,1
2,Diphtheria,1,1,5,2,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2
3,Dysentery:4,15,11,10,44,32,36,-,-,-,1,6,-,-,-,-,-,-,* -,7,3,...,-,2,2,1,-,KK,3,-,-,-,-,-,4,-,6,3
4,(a) Amoebic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a.e.,...,a.e.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,15,11,10,44,32,36,-,-,-,1,6,-,-,-,-,-,-,-,7,3,a.e.,-,2,2,-,-,-,3,-,-,-,-,-,4,-,6,5
6,Encephalitis, infectious,-,-,-,-,-,1,-,-,-,..a,a.e,...,-,-,-,-,-,-,a.e.,a.a,A.O.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,218,159,131,541,278,294,a.e.,a.a,...,57,74,26,135,62,56,...,a.e.,..,-,-,-,20,16,-,4,-,2,-,3,-,a.e.,A.A,a.a,2,4,8,7
8,Measles,466,592,"1,590","1,370","4,776","4,776",*,-,5.,,a.e.,...,79,42,69,,,...,65,188,296,111,107,445,32,12,59,..a,a.a,...,160,218,-,19,25,142,8
9,Meningitis, meningococcal,11,10,6,22,15,16,-,2,-,4,-,-,-,-,-,1,2,-,-,2,-,4,4,2,1,-,-,1,-,-,....,..,....,-,-,2,9
10,Mumps,496,516,796,"1,315","2,323","2,323",:.,:.,:.,..,8,:,14,5,39,:.,...,...,144,344,...,184,119,391,6,13,29,..,...,..,...,...,.....,148,27,162,10
11,Poliomyelitis, epidemic:4,2,1,7,4,6,16,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,2,-,2,-,-,2,11
