Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total3,Report,Previous,,Report,Previous,,Report,Previous,,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Week,Median 1953-57,Week,Week,Median 1953-57,Week,Week,Median 1953-57,,,Median,,,Median,,,,,,,,,,,,,,,,
,Chickenpox,780,768,998,"13,929","19,532","19,532",:,,:,:.,:,:,46,30,26,:,:.,:.,52,110,176,503,422,435,12,37,24,:,:.,:,:,:.,:,167,169,136,1
1,,1,1,2,22,61,47,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,138 -,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2
2 3,Diphtheria Dysentery:4,7,9,23,166,741,431,-,-,-,-,1,-,-,-,-,-,2,-,1,-,2,2,1,2,"4,",-,-,-,-,-,-,1,-,-,4,10,3
4,(a) Amoebic,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,7,9,23,162,741,426,-,-,-,-,1,-,-,-,-,-,2,-,1,-,2,2,1,2,4,-,-,-,-,-,-,1,-,-,4,10,5
6,Encephalitis, infectious,1,1,-,7,6,6,-,1,-,....,....,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,6
7,Influenza, epidemic,90,111,165,"3,084","1,831","6,567",...,...,...,49,65,78,25,26,81,....,P.R.,R.P.,-,-,-,4,-,4,7,2,3,-,-,-,P.S.,9.9.,9.9,5,18,13,7
8,Measles,819,"1,086","1,425","11,920","33,197","29,350",-,-,-,P...,...,....,65,78,23,P...,...,R.P.,120,210,379,428,365,539,31,305,35,R.P.,P...,R.A.,101,41,212,74,87,221,8
,meningococcal,6,4,5,117,105,116,-,1,1,-,-,-,-,-,-,3,-,-,-,-,-,-,2,1,3,-,-,-,-,-,...,R.?.,....,-,1,1,9
9,Meningitis,,326,369,791,"6,306","14,537","14,902",P.A,2.9.,9.2,P...,...,...,16,7,25,R.9.,....,R.9.,26,106,189,180,169,345,20,13,29,R.P.,P...,9.9.,P.R.,R.P.,...,84,74,122,10
10,Mumps epidemic:4,1,-,3,17,32,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,2,11
11,Poliomyelitis, With paralysis,1,-,1,14,21,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,7,12
12,(a) Without paralysis,-,-,1,3,9,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13
