Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative Total,,,,,,,,,,,,,,,,,,,,,,,,Previous Week,,Report,Previous Week,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,,Median 1953-57,Week,,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,768,836,"1,137","8,520","12,013","13,396",*,:.,:.,:,:.,:.,28,6,:,:,:,:,80,155,257,489,463,587,23,18,32,:.,:,:.,:.,:,:.,148,194,174,1
2,Diphtheria,2,-,8,15,50,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,
3,Dysentery:4,9,2,12,98,561,263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-,-,-,-,-,-,8,1,4,2 3
4,(a) Amoebic,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,9,2,12,97,561,261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-,-,-,-,-,-,8,1,4,5
6,Encephalitis, infectious,1,1,-,5,1,4,-,-,-,:.,:,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,131,84,477,"2,209",945,"3,020",**,...,...,54,27,36,29,6,63,8.9,P...,R.P.,-,-,-,46,19,26,2,32,2,-,-,-,...,9.8,....,-,-,61,7
8,Measles,691,576,"1,781","6,339","20,701","18,629",-,-,4,a.e,...,A.R.,101,49,...,R.P.,...,R.R,35,102,257,170,195,547,52,48,62,R.R,P...,9.8,112,81,261,221,101,103,8
9,Meningitis, meningococcal,6,4,7,75,63,72,4,2,1,-,-,-,-,-,-,1,1,-,-,-,1,1,1,2,-,-,-,-,-,-,P...,9.9.,.....,-,-,1,9
10,Mumps,342,334,"1,139","3,723","9,271","9,575",***,a..,...,....,...,...,47,32,...,R.9.,P...,R.R.,27,132,202,164,128,603,13,11,32,...,P...,...,....,...,.....,91,39,221,10
11,Poliomyelitis, epidemic:4,-,-,3,13,19,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
12,(a) With paralysis,-,-,2,10,12,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
13,(b) Without paralysis,-,-,1,3,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 13
14,Rubella,175,190,728,"1,846","6,245","5,436",-,-,-,...,..,...,...,.....,..,...,...,:.,3,6,33,89,74,148,-,-,4,..,..,..,66,84,29,17,26,15,14
15,Scarlet fever, etc.5,286,245,394,"3,385","2,833","3,738",10,15,-,10,3,6,92,91,26,1,-,1,14,20,87,90,71,101,5,4,6,6,1,9,38,26,36,21,16,64,15
16,Smallpox,-,-,-,-,-,-,-,-,-,2...,...,3.2.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
17,Tuberculosis: "4,6",163,153,165,"1,642","1,835","1,927",13,3,4,-,4,-,-,-,5,10,12,8,42,70,53,30,19,22,13,12,8,16,-,7,17,(9),24,22,33,34,16 17
18,(a) Pulmonary,125,126,127,"1,296","1,439","1,548",13,3,4,-,3,-,-,-,3,10,12,8,41,68,50,(7),(7),(7),13,10,8,13,-,6,15,-,19,20,30,33,18
19,(b) Non-pulmonary,8,8,13,86,124,121,-,-,-,-,1,-,-,-,-,-,-,-,1,2,2,(7),(7),(7),-,2,-,3,-,1,2,-,2,2,3,5,19
20,Typhoid and paratyphoid,4,9,4,53,61,64,-,-,-,-,-,-,-,-,-,-,1,-,4,6,2,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,20
21,Undulant fever,2,1,1,12,18,20,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,:,:.,:.,-,-,-,21
22,Venereal diseases:,312,304,340,"3,666","3,614","3,759",8,7,11,1,2,-,2,2,13,6,4,8,63,106,75,56,58,53,23,20,21,26,24,23,55,31,52,72,50,59,22
23,(a) Syphilis, primary,1,3,3,24,37,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,2,-,-,-,-,,-,-,23
24,(b) " secondary,3,1,1,11,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,1,-,-,-,-,-,2,-,-,24
25,(c) " other,44,46,40,432,436,556,-,-,2,-,-,-,-,1,2,-,-,-,27,26,16,10,10,13,1,1,2,,3,2,1,4,1,5,1,3,25
26,(d) Gonorrhoea,264,254,280,"3,199","3,130","3,130",8,7,11,1,2,-,2,1,10,6,4,7,36,79,59,46,47,36,21,19,18,25,19,19,54,27,49,65,49,55,26
27,(e) Other venereal diseases⁸,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,82,111,185,"1,404","1,902","1,902",-,-,-,-,-,3,10,26,1,-,-,-,6,28,78,38,30,52,1,-,5,2,-,1,8,7,16,17,20,21,28
