Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,Report,,,Report,Previous Week,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Previous Week,Median 1953-57,Week,,Median 1953-57,Report Week,Previous Week,Median 953-57,
1,Chickenpox,609,661,881,"16,946","23,713","23,713",:.,:.,:.,8,:.,:,6,-,43,:.,:.,:.,75,111,129,403,388,422,17,22,27,:,:,:.,:.,:,:,100,140,173,
2,Diphtheria,-,- 1,1,29,68,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,D-,-,1
3,Dysentery:4,40,6,14,232,792,515,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,2,-,1,-,-,-,-,-,3,-,36,2,10,2 3
4,(a) Amoebic,1,-,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4
5,(b) Bacillary,39,6,14,227,792,510,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,2,-,1,-,-,-,-,-,3,-,35,2,10,5
6,Encephalitis, infectious,1,-,1,9,8,10,-,-,-,:,:..,:.,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,60,68,75,"3,901","2,463","7,433",..,:.,:.,30,56,17,25,1,26,:.,...,...,-,-,-,-,-,2,5,4,2,-,-,-,...,..,..,-,7,-,7
8,Measles,"1,112","1,095","1,301","17,322","39,466","36,776",-,-,1,....,...,....,96,1,17,R.P.,...,....,188,196,286,674,702,537,27,60,35,..,.....,...,57,70,185,70,66,203,8
