DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended June 21, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
9,"Meningitis, Meningococcal",4,6,6,149,158,158,3,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,-,2,-,-,-,-,..,..,..,-,1,-,9,,,,,,,,,,,
10,Mumps,246,275,504,8485,18118,19111,..,..,..,..,..,..,13,19,26,..,..,..,58,96,120,117,119,259,21,29,15,..,..,..,..,..,..,37,12,81,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",1,1,7,35,48,131,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,11,,,,,,,,,,,
12,(a) With paralysis,1,1,5,29,30,80,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,2,6,16,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,13,,,,,,,,,,,
14,Rubella,420,383,325,5903,14593,14593,-,-,-,..,..,..,..,..,..,..,..,..,13,15,32,301,301,78,47,6,-,..,..,..,35,45,40,24,16,37,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",119,151,170,5898,5367,7872,5,7,2,3,2,7,13,19,21,-,-,2,15,21,45,48,64,82,3,3,3,1,4,3,30,29,12,1,2,11,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",108,166,197,3728,4016,4552,7,10,10,1,2,2,1,2,3,10,3,12,35,74,62,20,18,22,10,15,17,5,9,11,7,20,22,12,13,32,17,,,,,,,,,,,
18,(a) Pulmonary,79,135,160,2902,3071,3683,7,10,10,1,1,1,1,1,3,9,3,12,33,73,61,(7),(7),(7),10,14,17,3,8,7,7,15,21,8,10,25,18,,,,,,,,,,,
19,(b) Non-pulmonary,9,13,14,265,273,273,-,-,-,-,1,-,-,1,-,1,-,-,2,1,1,(7),(7),(7),-,1,-,2,1,3,-,5,1,4,3,4,19,,,,,,,,,,,
20,Typhoid and paratyphoid,1,7,7,138,136,199,-,-,-,-,-,-,-,-,-,-,-,-,1,6,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,20,,,,,,,,,,,
21,Undulant fever,3,2,3,48,60,60,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,1,-,2,1,-,-,-,..,..,..,-,-,-,21,,,,,,,,,,,
22,Venereal diseases:,323,280,323,7852,7996,7996,6,8,5,-,-,-,3,5,16,8,8,4,36,85,69,55,33,51,46,13,24,25,29,23,49,57,56,95,42,75,22,,,,,,,,,,,
23,"(a) Syphilis, primary",-,-,2,41,68,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,23,,,,,,,,,,,
24,(b) '' secondary,-,-,1,23,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,24,,,,,,,,,,,
25,(c) '' other,40,35,41,941,1064,1129,-,-,-,-,-,-,-,-,1,3,1,-,18,24,16,8,6,9,-,-,2,1,1,2,1,1,2,9,2,5,25,,,,,,,,,,,
26,(d) Gonorrhoea,283,245,279,6846,6835,6747,6,8,5,-,-,-,3,5,15,5,7,4,18,61,50,47,27,40,46,13,22,24,28,19,48,56,52,86,40,69,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,1,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,229,132,130,3186,3462,4239,-,-,-,2,1,10,42,20,7,-,-,-,24,10,49,24,33,33,53,-,1,4,-,2,42,15,15,38,53,19,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Report not received ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,5 (12),Measles,21366 (27407),"Meningitis, other",26 (84),"Poliomyelitis, with paralysis",28 (25),Typhoid fever,18 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",40 (38),Meningococcal infections,34 (34),"Poliomyelitis, acute",56 (55),"Poliomyelitis, without paralysis",19 (22),Undulant fever,23 (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No significant changes were observed for the current week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* NEWFOUNDLAND reports Measles (epidemic) at Summerville, B.B. and Monkstown, P.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** NEWFOUNDLAND reports Scarlet fever and Streptococcal sore throat (epidemic) at Hobb's Cove, B.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Gabrielle Mackinnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
