DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended March 15, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,768,836,1137,8520,12013,13396,*,..,..,..,..,..,28,6,..,..,..,..,80,155,257,489,463,587,23,18,32,..,..,..,..,..,..,148,194,174,1,,,,,,,,,,,
2,Diphtheria,2,-,8,15,50,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,9,2,12,98,561,263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-,-,-,-,-,-,8,1,4,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,9,2,12,97,561,261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-,-,-,-,-,-,8,1,4,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,1,-,5,1,4,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",131,84,477,2209,945,3020,**,..,..,54,27,36,29,6,63,..,..,..,-,-,-,46,19,26,2,32,2,-,-,-,..,..,..,-,-,61,7,,,,,,,,,,,
8,Measles,691,576,1781,6339,20701,18629,-,-,4,..,..,..,101,49,..,..,..,..,35,102,257,170,195,547,52,48,62,..,..,..,112,81,261,221,101,103,8,,,,,,,,,,,
