DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended February 15, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
22,Venereal diseases:,372,296,336,2397,2318,2394,6,17,10,-,-,-,10,11,8,3,5,2,84,64,71,58,45,67,36,34,25,29,25,21,46,50,59,100,45,67,22,,,,,,,,,,,
23,"(a) Syphilis, primary",6,1,5,19,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,2,1,-,2,-,1,-,-,-,23,,,,,,,,,,,
24,(b) '' secondary,1,-,2,6,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,37,37,60,280,253,344,-,2,2,-,-,-,-,-,1,-,1,1,20,18,23,6,6,21,3,3,1,1,1,3,-,1,1,7,5,4,25,,,,,,,,,,,
26,(d) Gonorrhoea,328,258,274,2092,2038,2038,6,15,10,-,-,-,10,11,5,3,4,1,64,46,59,51,39,46,31,31,24,26,23,17,44,49,54,93,40,63,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,127,136,182,976,1214,1233,-,-,-,-,-,2,10,10,5,-,-,-,56,34,86,21,33,37,-,-,3,2,-,3,8,16,11,30,43,15,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Report not received ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,24 (47),Measles,"5,309 (4,719)","Meningitis, other",10 (22),"Poliomyelitis, with paralysis",14964 (13888),Typhoid fever,44 (36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",15 (21),Meningococcal infections,54 (48),"Poliomyelitis, acute",16 (11),"Poliomyelitis, without paralysis",71 (62),Undulant fever,21 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many of the states continue to report relatively small numbers of cases of influenza or influenza-like disease. The Vermont Department of Health states that there were 16 deaths from influenza and pneumonia in the towns and cities during January 1958 as compared with 6 in January 1957. The New Jersey State Department of Health reports sporadic cases in 5 counties. Oregon reports the occurrence of minor respiratory illness but no substantial outbreaks of ""true epidemic influenza."" California reports that influenza and pneumonia deaths in 8 selected cities have remained at about expected values for 4 consecutive weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NEWFOUNDLAND reports Mumps (epidemic) at Aquaforte and Ferryland District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Gabrielle Mackinnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
