DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 20, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,72,98,110,20655,27361,27361,..,..,..,..,..,..,1,-,2,..,..,..,14,5,48,39,58,41,10,7,5,..,..,..,..,..,..,8,28,17,1,,,,,,,,,,,
2,Diphtheria,1,1,1,37,105,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,38,47,10,631,990,810,-,-,-,6,-,-,-,-,-,1,-,-,11,10,2,6,6,2,3,3,-,-,1,-,-,2,-,11,25,2,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,(7),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,37,47,9,621,985,791,-,-,-,6,-,-,-,-,-,(7),-,-,11,10,2,6,6,2,3,3,-,-,1,-,-,2,-,11,25,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,3,1,21,24,29,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",46,114,77,5598,10029,9203,..,..,..,15,33,30,19,74,39,..,..,..,-,1,-,1,-,2,6,1,4,-,-,-,..,..,..,5,5,1,7,,,,,,,,,,,
8,Measles,262,551,152,24939,45856,44175,*,-,2,..,..,..,6,20,17,..,..,..,123,13,31,101,93,28,8,382,8,..,..,..,11,21,26,13,22,20,8,,,,,,,,,,,
