file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,0,1,1,False,38.92
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,1,Chickenpox,Chickenpox,True,77.10
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,2,804,804,True,77.10
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,3,750,750,True,83.25
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,4,996,996,True,87.50
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,5,"23,234",23234,False,89.36
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,6,"21,241",21241,False,79.20
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,7,"26,154",26154,False,90.97
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,8,17,17,True,82.13
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,9,2,2,True,33.81
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,10,6,6,True,86.77
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,11,5,5,True,77.88
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,12,2,2,True,86.87
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,13,1,1,True,82.42
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,14,18,18,True,48.05
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,15,38,38,True,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,16,49,49,True,49.98
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,17,-,-,True,87.94
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,18,-,-,True,47.12
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,19,-,-,True,87.40
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,20,119,119,True,80.18
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,21,168,168,True,68.12
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,22,143,143,True,87.94
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,23,402,402,True,75.78
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,24,324,324,True,85.60
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,25,426,426,True,27.66
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,26,70,70,True,85.25
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,27,38,38,True,29.08
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,28,50,50,True,86.33
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,29,*...,..,False,77.29
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,30,..,..,True,76.76
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,31,43,43,True,86.82
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,32,...,..,False,84.33
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,33,....,..,False,87.06
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,34,36,36,True,47.12
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,35,173,173,True,88.18
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,36,178,178,True,86.91
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,37,149,149,True,83.89
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,0,38,1,1,False,85.60
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,0,2,2,False,38.92
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,1,Diphtheria,Diphtheria,True,90.58
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,2,-,-,True,85.35
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,3,-,-,True,82.96
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,4,2,2,True,87.26
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,5,45,45,True,89.06
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,6,49,49,True,78.96
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,7,76,76,True,90.67
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,8,-,-,True,81.88
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1,9,-,-,True,33.72
