Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,,,,,,,,,Report,,,Report Week,,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Previous Week,Median 1953-57,,Previous Week,Median 1953-57,,,Median,,,,,,,,,Median,,,Median 1 953-57,
1,Chickenpox,661,539,750,"16,337","22,832","22,832",*,:.,:.,:.,1,..,-,2,29,:,:.,:.,111,77,124,388,346,416,22,23,24,:,:.,:,:,:.,:.,140,90,134,1
2,Diphtheria,1,4,-,29,67,51,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,6,4,15,192,785,501,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3,-,-,2,1,-,-,-,-,-,3,-,1,2,3,4,3
4,(a) Amoebic,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,6,4,15,188,785,496,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3,-,-,2,1,-,-,-,-,-,3,-,-,2,3,4,5
6,Encephalitis, infectious,-,-,1,8,7,9,-,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,68,340,177,"3,841","2,378","7,249",M,P...,...,56,68,89,1,102,55,....,...,....,-,-,-,-,3,4,4,2,6,-,-,-,:.,...,...,7,165,-,7
8,Measles,"1,095","1,101","1,285","16,210","38,174","35,204",**,-,2,...,...,P...,1,53,18,....,...,....,196,287,352,702,579,560,60,47,24,...,...,.....,70,72,232,66,63,214,8
9,Meningitis, meningococcal,5,5,9,136,139,140,2,1,1,-,-,-,-,-,-,1,-,-,-,2,-,1,1,1,1,1,1,-,-,-,.....,.....,...,-,-,-,9
10,Mumps,312,328,629,"7,608","16,805","17,575",..,:,:.,:,:,:.,4,12,27,:.,:,:,106,93,131,157,127,297,28,21,20,:.,: .,:.,:.,:.,:,17,75,91,10
11,Poliomyelitis, epidemic:4,9,-,8,28,40,105,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,5,-,4,11
12,(a) With paralysis,6,-,6,22,25,63,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4,-,3,12
13,(b) Without paralysis,3,-,2,6,13,32,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,13
14,Rubella,306,281,460,"4,748","13,530","13,530",-,-,-,..,:.,...,:,:.,:.,:.,:.,:.,6,9,21,244,184,93,2,3,1,:.,:.,:,38,69,25,16,16,60,14
15,Scarlet fever, etc.5,150,132,240,"5,488","4,937","7,301",23,8,1,11,11,6,10,10,20,-,1,1,7,12,30,60,63,72,11,1,2,-,2,5,18,21,9,10,3,8,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:.,:.,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,134,127,189,"3,266","3,890","3,907",7,15,6,1,2,-,1,-,2,18,19,2,52,36,63,28,19,27,11,5,11,-,-,6,4,9,21,12,22,24,17
18,(a) Pulmonary,96,86,163,"2,541","3,076","3,166",7,15,6,1,1,-,1,-,1,18,11,2,49,35,61,(7),(7),(7),9,5,10,-,-,6,4,5,20,7,14,23,18
19,(b) Non-pulmonary,10,22,6,229,238,238,-,-,-,-,1,-,-,-,-,-,8,-,3,1,2,(7),(7),(7),2,-,1,-,-,1,-,4,1,5,8,2,19
20,Typhoid and paratyphoid,5,4,11,124,125,166,-,-,-,-,-,-,-,-,-,-,-,-,4,4,5,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,20
21,Undulant fever,6,7,2,39,56,46,-,-,-,-,-,-,-,-,-,-,-,-,3,7,2,1,-,-,2,-,-,-,-,-,:,:.,:,-,-,-,21
22,Venereal diseases:,316,312,318,"6,954","7,030","7,127",14,13,8,-,-,-,6,7,10,6,3,6,85,81,78,40,56,49,27,23,26,18,35,21,67,39,48,53,55,42,22
23,(a) Syphilis, primary,-,-,1,40,62,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23
