Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,Previous,,,,,,,,,Week,,Report,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,,Report Week,Previous,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous,Median 1953-57,Week,,Median,,,Median,,,,,,,,,Median 1953-57,,Week,Median 1 953-57,
1,Chickenpox,873,608,885,"12,375","17,437","17,661",:,:.,: .,:.,:,:,36,9,24,:.,:,:.,192,1/3,178,457,312,401,12,15,15,:.,: .,:.,:,:,:.,176,129,189,1
2,Diphtheria,2,-,3,20,57,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,2
3,Dysentery:4,7,3,23,150,682,390,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1,2,-,L,or -,-,-,-,-,-,-,-,-,1,1,9,3
4,(a) Amoebic,1,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4
5,(b) Bacillary,6,3,23,146,682,385,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1,2,-,4,-,-,-,-,-,-,-,-,-,-,1,9,5
6,Encephalitis, infectious,-,-,1,5,5,6,-,-,-,::,..,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,147,228,315,"2,872","1,576","6,013",:.,..,....,39,83,165,82,1/2,55,9.8,...,...,-,-,-,11,2,12,8,1,1,-,-,-,:.,........,...,7,-,58,7
8,Measles,935,695,"1,489","9,959","29,928","26,456",-,-,6,...,....,...,76,119,44,...,...,...,240,166,235,421,251,569,28,28,44,:,:.,:.,55,37,225,115,94,179,8
9,Meningitis, meningococcal,8,11,5,107,93,107,2,7,1,-,-,-,-,-,-,-,1,-,-,1,-,2,1,1,1,1,-,-,-,-,:,:.,:,3,-,1,9
10,Mumps,395,242,727,"5,605","13,297","13,556",a.e.,:.,:,:.,:,:.,9,21,33,:,:.,:,135,61,189,147,110,348,71,16,31,:,:,:.,:,:,:,33,34,131,10
11,Poliomyelitis, epidemic:4,-,-,4,15,29,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,11
12,(a) With paralysis,-,-,2,12,19,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12
,Without paralysis,-,-,1,3,8,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
13 14,(b) Rubella,304,172,691,"2,885","10,600","9,612",-,-,-,...,...,..,4,...,...,...,R...,...,10,49,32,115,37,73,7,46,1,....,...,....,154,29,27,14,11,35,14
15,Scarlet fever, etc.5,193,144,348,"4,376","3,976","5,601",11,12,3,7,5,6,43,24,24,-,-,-,9,13,78,81,55,114,2,1,2,2,-,17,31,32,19,7,2,20,15
