Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
16,Smallpox,-,-,-,-,-,-,-,-,-,......,...,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,172,168,209,"1,474","1,487","1,541",9,4,6,1,-,1,4,-,1,7,6,12,74,64,88,33,27,26,5,5,11,19,2,12,4,26,23,16,34,20,17
18,(a) Pulmonary,127,137,174,"1,188","1,170","1,259",9,4,6,1,-,1,4,-,1,7,6,12,70,64,85,(7),(7),(7),4,5,11,13,1,11,4,26,22,15,31,17,18
19,(b) Non-pulmonary,12,4,10,75,100,100,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3,(7),(7),(7),1,-,-,6,1,1,-,-,-,1,3,3,19
20,Typhoid and paratyphoid,7,4,7,40,50,52,-,-,-,-,-,-,-,-,-,-,-,-,5,4,3,-,-,1,-,-,-,-,-,-,-,-,1,2,-,1,20
21,Undulant fever,1,1,2,9,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,1,-,-,..,:.,:.,-,-,-,21
22,Venereal diseases:,318,335,354,"3,050","2,951","3,090",17,14,8,2,1,1,2,3,10,4,2,1,86,79,103,51,50,59,19,28,35,26,22,17,47,47,65,64,89,51,22
23,(a) Syphilis, primary,-,1,4,20,30,29,-,-,-,-,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,23
24,(b) " secondary,1,-,2,7,6,11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,37,25,56,342,355,461,1,-,2,-,1,-,-,1,1,-,-,-,14,11,26,11,4,13,2,1,1,1,-,4,6,2,1,2,5,7,25
26,(d) Gonorrhoea,280,309,292,"2,681","2,558","2,601",16,14,6,2,-,-,2,2,5,4,2,1,71,68,83,40,46,44,17,27,31,25,21,14,41,45,60,62,84,47,26
27,(e) Other venereal diseases⁸,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,125,109,197,"1,210","1,570","1,573",-,-,-,-,-,1,1,13,8,-,-,1,43,22,76,37,-,30,1,-,10,-,6,6,9,9,12,34,59,18,28
