Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,Report,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,,Report,Previous,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,,Median,,,Median,,,,,,Median 1953-57,Week,Week,Median 1 953-57,
1,Chickenpox,153,137,161,"20,946","27,607","27,607",...,:..,:.,...,,:.,3,14,6,...,::,...,28,32,42,86,67,58,1,5,7,:.,:.,:.,:,..,:.,35,19,31,1
2,Diphtheria,-,2,1,39,110,84,-,-,-,-,-,-,-,,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:,37,79,9,747,"1,011",834,-,0 -,F -,2,2,-,-,-,-,-,-,-,1,8,-,Limi,46,3,3,-,2,-,-,-,5,2,-,19,21,-,3
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,37,79,9,737,"1,006",810,-,-,-,2,2,-,-,-,-,-,-,-,1,8,-,7,46,1,3,-,2,-,-,-,5,2,-,19,21,-,5
6,Encephalitis, infectious,-,1,1,22,26,33,-,-,-,:,:,:,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,103,118,82,"5,819","21,895","9,405",:.,:.,:,65,53,17,37,59,74,:,:.,:.,-,-,-,-,-,7,-,3,-,-,-,-,:,:,:,1,3,2,7
8,Measles,281,316,222,"25,536","46,283","44,797",*,-,-,:.,::,:,*30,44,9,:,:.,:,22,112,46,129,110,29,10,8,9,:,:.,:.,43,9,26,47,33,53,8
9,Meningitis, meningococcal,3,3,4,228,259,238,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,-,1,-,1,-,-,-,-,:.,:,:,-,-,1,9
10,Mumps,145,97,179,"9,966","20,129","21,533",**,...,....,...,...,....,15,10,4,....,R.P.,....,21,25,34,82,41,75,6,9,7,...,..,..,...,..,:,21,12,36,10
11,Poliomyelitis, epidemic:4,16,24,43,206,233,843,-,-,-,-,-,1,-,-,1,-,-,3,7,4,6,2,1,10,6,15,1,-,-,3,1,4,8,-,-,8,11
12,(a) With paralysis,10,15,20,155,140,439,-,-,-,-,-,1,-,-,-,-,-,-,5.,3,5.,2,1,4,3,9,1,-,-,1,-,2,2,-,-,4,12
13,(b) Without paralysis,6,9,19,51,87,323,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,-,-,4,3,6,-,-,-,-,1,2,1,-,-,4,13
14,Rubella,82,36,42,"6,857","15,896","15,896",-,-,-,9.9,R.R.,...,R.P.,...,R.P.,...,R.P.,9.8.,2,3,7,18,17,19,20,-,-,.....,...,....,21,10,10,21,6,7,14
15,Scarlet fever, etc.5,153,153,106,"7,262","6,756","9,439",17,17,2,9,9,9,35,71,20,-,-,1,14,8,20,48,20,23,5,3,4,-,9,6,6,2,7,19,14,15,15
16,Smallpox,-,-,-,-,,-,-,-,-,...,:.,:.,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",116,140,173,"5,682","6,201","7,523",2,8,4,-,2,2,2,-,1,13,2,18,51,69,64,24,26,24,8,15,9,-,4,7,8,5,15,8,9,30,17
18,(a) Pulmonary,87,107,133,"4,434","4,805","6,193",2,8,4,-,2,-,2,-,1,12,2,17,49,69,63,(7),(7),(7),7,13,9,-,2,7,8,4,15,7,7,27,18
19,(b) Non-pulmonary,5,7,9,425,396,415,-,-,-,-,-,1,-,-,-,1,-,1,2,-,1,(7),(7),(7),1,2,-,-,2,1,-,1,1,1,2,3,19
20,Typhoid and paratyphoid,5,9,8,252,228,347,-,-,-,-,-,-,-,-,-,-,-,-,4,4,5,-,4,1,-,-,-,-,-,-,-,-,1,1,1,-,20
21,Undulant fever,1,3,2,82,109,106,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,-,-,1,-,-,-,-,:,:,:.,-,-,-,21
22,Venereal diseases:,343,364,364,"12,785","12,746","12,985",5,7,7,1,3,1,4,4,9,9,9,6,69,82,102,46,61,62,35,51,34,17,45,27,38,55,63,119,47,58,22
23,(a) Syphilis, primary,1,4,3,75,113,113,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-,23
24,(b) " secondary,3,2,1,56,33,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,1,1,-,24
25,(c) " other,27,41,48,"1,404","1,633","1,757",-,-,-,-,1,-,1,-,1,1,2,-,11,20,25,6,10,10,-,2,1,1,1,1,-,2,4,7,3,3,25
26,(d) Gonorrhoea,312,316,315,"11,246","10,958","11,033",5,6,6,1,2,1,3,4,9,8,6,5,58,61,73,38,50,52,35,49,33,15,43,24,38,53,58,111,42,53,26
27,(e) Other venereal diseases⁸,-,1,-,4,9,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,27
28,Whooping cough,148,145,221,"5,147","5,926","6,811",-,-,-,14,1,2,7,6,15,-,1,-,19,20,60,68,65,44,-,-,8,5,6,6,17,23,15,,,,28
