Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous,,,Cumulative,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,
1,Chickenpox,553,67,112,"20,777","26,930","26,930",:,:,:.,,:.,:.,-,1,5,:,:.,:.,12,11,23,50,37,38,4,11,4,:,:,:.,:,:.,:.,6,7,21,
2,Diphtheria,-,-,1,33,89,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
3,Dysentery:4,40,36,13,465,894,752,4,-,-,-,1,-,2,-,-,-,2,-,2,-,2,6,7,1,5,11,-,-,-,-,-,-,-,21,15,6,2
4,(a) Amoebic,-,-,-,8,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
5,(b) Bacillary,40,36,13,457,890,734,4,-,-,-,1,-,2,-,-,-,2,-,2,-,1,6,7,1,5,11,-,-,-,-,-,-,-,21,15,6,4
6,Encephalitis, infectious,2,-,1,14,21,21,1,-,-,...,....,...,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,5
7,Influenza, epidemic,41,115,58,"5,282","4,110","8,674",...,...,....,39,45,9,-,66,40,...,.....,...,-,-,-,-,-,3,1,4,2,-,-,-,:,I :.,:.,1,-,1,6 7
8,Measles,1/4,202,196,"23,799","45,237","43,477",*,-,-,10,10,...,-,9,12,R.P.,9..9,R.R.,29,35,52,72,117,59,to,20,9,.....,.....,....,-,-,21,25,11,23,8
9,Meningitis, meningococcal,6,7,6,201,215,208,-,2,2,-,-,-,2,-,-,-,1,-,-,-,-,2,3,1,1,-,-,-,-,-,....,...,.....,1,1,-,
10,Mumps,52,83,110,"9,462","19,481","20,644",9.0,A.P.,....,A.R,9..9.,a.a.,-,9,10,A.P.,....,R.A,5,8,13,34,54,43,3,2,to,R.R.,,...,...,,,10,10,19,9
11,Poliomyelitis, epidemic:4,12,10,68,77,139,516,-,-,1,-,-,1,-,-,3,-,-,3,-,3,9,1,-,13,11,7,3,-,.... -,9,-,R.P. -,... 13,-,-,CO,10
12,(a) With paralysis,11,8,40,66,86,273,-,-,1,-,-,1,-,-,2,-,-,-,-,3,6,1,-,4,'10,5,2,-,-,2,-,-,4,-,-,3,11
13,(b) Without paralysis,1,2,20,11,51,195,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,-,-,6,1,2,1,-,-,3,-,-,1,-,-,2,12 13
14,Rubella,17,18,63,"6,525","15,550","15,550",-,-,-,...,....,...,...,...,...,...,....,...,4,-,4,4,8,14,1,1,1,...,:,...,-,-,6,$,9,9,14
15,Scarlet fever, etc.5,39,43,78,"6,592","6,122","8,795",9,7,-,7,6,3,-,11,24,-,-,1,3,2,9,7,11,11,1,1,2,-,-,-,-,-,Li,12,5,4,15
16,Smallpox,-,-,-,-,-,-,-,-,-,R.R.,P...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
17,Tuberculosis:4,111,97,211,"4,882","5,286","6,333",2,1,6,2,6,1,1,1,-,12,9.,3,51,46,62,15,21,23,6,2,20,10,4,8,-,-,18,12,7,18,16 17
18,(a) Pulmonary,86,66,142,"3,804","4,076","5,179",2,1,6,1,5,-,1,1,-,11,7,3,49,42,62,(7),(7),(7),6,2,20,6,2,7,-,-,14,10,6,16,18
19,(b) Non-pulmonary,10,10,5,369,345,360,-,-,-,1,1,-,-,-,-,1,2,-,2,4,1,(7),(7),(7),-,-,-,4,2,1,-,-,-,2,1,1,19
20,Typhoid and paratyphoid,8,13,14,195,186,280,-,1,-,-,-,-,-,-,-,-,-,1,5,11,10,1,-,2,-,-,-,-,-,-,-,-,-,2,1,-,20
21,Undulant fever,2,-,4,74,86,89,-,-,-,-,-,-,-,-,-,-,!,-,2,-,2,-,-,1,-,-,-,-,-,-,:.,:,:.,-,-,-,
22,Venereal diseases:,250,291,351,"10,584","10,861","11,053",13,9,8,-,-,-,3,7,to,8,7,5,38,74,78,58,55,47,27,-,30,19,46,33,-,-,62,84,93,74,21 22
23,(a) Syphilis, primary,-,1,3,59,92,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,23
24,(b) " secondary,3,-,2,42,32,32,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
