Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,81,108,83,"20,485","27,133","27,133",..,..,:.,:.,:,..,-,1,4,:,:.,:.,41,44,17,24,33,30,6,6,3,:,:,:,:,:,:,10,24,17,
2,Diphtheria,1,1,1,35,101,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2 -,-,-,-,-,-,-,-,1,-,-,-,-,1
3,Dysentery:4,34,45,10,545,912,776,-,-,-,8,3,-,-,-,-,-,1,-,5,1,1,3,2,3,1,5,-,-,-,-,2,4,-,15,29,5,2
4,(a) Amoebic,-,1,-,9,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3
5,(b) Bacillary,34,44,10,536,908,757,-,-,-,8,3,-,-,-,-,-,1,-,5,1,1,3,1,2,1,5,-,-,-,-,2,4,-,15,29,5,4
6,Encephalitis, infectious,4,-,2,18,22,23,-,-,-,9.9.,9.9,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,5
7,Influenza, epidemic,65,66,90,"5,435","5,046","8,915",...,R.A.,...,25,20,48,38,20,62,1,1,A.R,-,-,-,-,-,-,2,-,1,-,-,-,...,a.b.,,-,25,2,6 7
8,Measles,125,164,176,"24,130","45,535","13,847",*,-,1,R.R.,9,R.R.,2,4,12,R.A.,...,a.a,32,11,39,70,110,27,-,5,11,a.a,,,12,10,... 16,9,15,18,8
9,Meningitis, meningococcal,4,3,6,209,226,216,2,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,... -,a.a. -,..,.....,,-,-,-,
10,Mumps,51,32,98,"9,550","19,636","20,838",...,...,...,...,..,:,8,5,5,...,.....,...,8,4,14,21,14,55,4,6,9,...,:,...,:,..,..... :,10,3,14,9 10
11,Poliomyelitis, epidemic:⁴,22,19,83,121,175,666,-,-,-,-,-,1,-,-,3,-,-,3,2,-,13,-,-,19,15,16,2,-,-,8,5,3,12,-,-,6,
12,(a) With paralysis,18,12,45,98,105,354,-,-,-,-,-,1,-,-,3,-,-,-,2,-,7,-,-,6,12,10,2,-,-,4,4,2,3,-,-,2,11
