Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,USASK,,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,1953-57,,,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Megian 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median,Report Week,Previous Week,Median. 1953-57,Report Week,Previous Week,Median 1953-57,
11,Poliomyelitis, epidemic:4,-,2,12,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,11
12,(a) With paralysis,-,1,5,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,12
13,(b) Without paralysis,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,163,29,151,163,250,159,-,-,-,.....,...,...,-,-,6,...,:,:.,6,4,5,11,13,27,105,1,-,:.,:.,:.,34,10,8,7,1,10,14
15,** Scarlet fever, etc.5,252,169,218,252,207,218,15,5,5,to,28,9.,157,84,33,-,-,2,13,21,32,34,16,79,6,2,6,3,-,4,15,10,23,1,3,16,15
16,Smallpox,-,-,-,-,-,-,-,-,-,...,..,....,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,165,103,118,165,118,131,3,2,4,-,1,1,-,-,4,1,9,8,65,24,40,33,11,15,8,6,11,1,7,5,38,27,18,16,16,26,17
18,(a) Pulmonary,127,82,105,127,95,114,3,2,4,-,1,1,-,-,4,1,7,8,61,21,39,(7),(7),(7),8,Ln,11,1,7,3,38,26,18,15,14,22,18
19,(b) Non-pulmonary,5,10,5,5,8,8,-,-,-,-,-,-,-,-,-,-,2,-,4,3,1,(7),(7),(7),-,2,-,-,-,2,-,1,-,1,2,3,19
20,Typhoid and paratyphoid,4,1,6,4,9,5,-,-,-,-,-,-,-,-,-,-,-,-,4,-,6,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,2,-,1,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,2,:.,:,-,-,-,-,-,-,-,,-,:,:,:,-,-,-,21
22,Venereal diseases:,237,256,250,237,284,284,8,6,6,-,-,1,3,5,12,1,-,7,93,72,70,53,15,37,23,27,10,20,30,14,36,38,47,(9),63,28,22
23,(a) Syphilis, primary,1,-,3,1,3,3,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,23
24,(b) " secondary,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,27,25,26,27,26,38,-,-,-,-,-,-,1,-,-,1,-,1,18,13,9,3,1,6,2,1,-,-,6,1,2,2,3,-,2,1,25
26,(d) Gonorrhoea,209,231,213,209,255,255,8,6,6,-,-,1,1,5,12,-,-,4,75,59,64,50,14,32,21,26,10,20,24,11,34,36,46,-,61,26,26
27,(e) Other venereal diseases⁸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,27
28,Whooping cough,102,70,133,102,67,133,-,-,-,-,-,2,-,6,4,-,-,1,17,39,27,48,9,51,-,1,3,4,-,2,11,3,12,22,12,8,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
