source_file,disease,cases
cdi_ca_1957_wk_prov_dbs__0001__wk1.csv,Measles,1126
cdi_ca_1957_wk_prov_dbs__0001__wk1.csv,Meningitis,2
cdi_ca_1957_wk_prov_dbs__0002__wk2.csv,Measles,1830
cdi_ca_1957_wk_prov_dbs__0002__wk2.csv,Meningitis,11
cdi_ca_1957_wk_prov_dbs__0003__wk3.csv,Measles,1678
cdi_ca_1957_wk_prov_dbs__0003__wk3.csv,Meningitis,2
cdi_ca_1957_wk_prov_dbs__0004__wk5.csv,Measles,1872
cdi_ca_1957_wk_prov_dbs__0004__wk5.csv,Meningitis,5
cdi_ca_1957_wk_prov_dbs__0005__wk6.csv,Measles,1832
cdi_ca_1957_wk_prov_dbs__0005__wk6.csv,Meningitis,9
cdi_ca_1957_wk_prov_dbs__0006__wk7.csv,Measles,1799
cdi_ca_1957_wk_prov_dbs__0006__wk7.csv,Meningitis,8
cdi_ca_1957_wk_prov_dbs__0007__wk8.csv,Measles,1625
cdi_ca_1957_wk_prov_dbs__0007__wk8.csv,Meningitis,2
cdi_ca_1957_wk_prov_dbs__0008__wk4.csv,Measles,1765
cdi_ca_1957_wk_prov_dbs__0008__wk4.csv,Meningitis,3
cdi_ca_1957_wk_prov_dbs__0009__wk9.csv,Measles,1730
cdi_ca_1957_wk_prov_dbs__0009__wk9.csv,Meningitis,10
cdi_ca_1957_wk_prov_dbs__0010__wk10.csv,Measles,1981
cdi_ca_1957_wk_prov_dbs__0010__wk10.csv,Meningitis,8
cdi_ca_1957_wk_prov_dbs__0011__wk11.csv,Measles,1582
cdi_ca_1957_wk_prov_dbs__0011__wk11.csv,Meningitis,5
cdi_ca_1957_wk_prov_dbs__0012__wk12.csv,Measles,2102
cdi_ca_1957_wk_prov_dbs__0012__wk12.csv,Meningitis,4
cdi_ca_1957_wk_prov_dbs__0013__wk13.csv,Measles,2183
cdi_ca_1957_wk_prov_dbs__0013__wk13.csv,Meningitis,3
cdi_ca_1957_wk_prov_dbs__0014__wk14.csv,Measles,1878
cdi_ca_1957_wk_prov_dbs__0014__wk14.csv,Meningitis,11
cdi_ca_1957_wk_prov_dbs__0015__wk15.csv,Measles,1020
cdi_ca_1957_wk_prov_dbs__0015__wk15.csv,Meningitis,5
cdi_ca_1957_wk_prov_dbs__0016__wk16.csv,Measles,1504
cdi_ca_1957_wk_prov_dbs__0016__wk16.csv,Meningitis,5
cdi_ca_1957_wk_prov_dbs__0017__wk17.csv,Measles,1655
cdi_ca_1957_wk_prov_dbs__0017__wk17.csv,Meningitis,7
